KODE_INSTANSI;NAMA_INSTANSI;TINGKAT;NAMA_FORMASI;JENJANG
PEMPROV-KALIMANTANUTARA;Pemerintah Provinsi Kalimantan Utara;daerah;;
PEMKAB-KABBULUNGAN;Pemerintah Kabupaten Bulungan;daerah;;
PEMKAB-KABMALINAU;Pemerintah Kabupaten Malinau;daerah;;
PEMKAB-KABNUNUKAN;Pemerintah Kabupaten Nunukan;daerah;;
PEMKAB-KABTANATIDUNG;Pemerintah Kabupaten Tana Tidung;daerah;;
PEMKOT-KOTATARAKAN;Pemerintah Kota Tarakan;daerah;;
PEMPROV-KEPULAUANBANGKABELIT;Pemerintah Provinsi Kepulauan Bangka Belitung;daerah;;
PEMKAB-KABBANGKA;Pemerintah Kabupaten Bangka;daerah;;
PEMKAB-KABBANGKABARAT;Pemerintah Kabupaten Bangka Barat;daerah;;
PEMKAB-KABBANGKASELATAN;Pemerintah Kabupaten Bangka Selatan;daerah;;
PEMKAB-KABBANGKATENGAH;Pemerintah Kabupaten Bangka Tengah;daerah;;
PEMKAB-KABBELITUNG;Pemerintah Kabupaten Belitung;daerah;;
PEMKAB-KABBELITUNGTIMUR;Pemerintah Kabupaten Belitung Timur;daerah;;
PEMKOT-KOTAPANGKALPINANG;Pemerintah Kota Pangkal Pinang;daerah;;
PEMPROV-KEPULAUANRIAU;Pemerintah Provinsi Kepulauan Riau;daerah;;
PEMKAB-KABBINTAN;Pemerintah Kabupaten Bintan;daerah;;
PEMKAB-KABKARIMUN;Pemerintah Kabupaten Karimun;daerah;;
PEMKAB-KABKEPULAUANANAMBAS;Pemerintah Kabupaten Kepulauan Anambas;daerah;;
PEMKAB-KABLINGGA;Pemerintah Kabupaten Lingga;daerah;;
PEMKAB-KABNATUNA;Pemerintah Kabupaten Natuna;daerah;;
PEMKOT-KOTABATAM;Pemerintah Kota B A T A M;daerah;;
PEMKOT-KOTATANJUNGPINANG;Pemerintah Kota Tanjung Pinang;daerah;;
PEMPROV-LAMPUNG;Pemerintah Provinsi Lampung;daerah;;
PEMKAB-KABLAMPUNGBARAT;Pemerintah Kabupaten Lampung Barat;daerah;;
PEMKAB-KABLAMPUNGSELATAN;Pemerintah Kabupaten Lampung Selatan;daerah;;
PEMKAB-KABLAMPUNGTENGAH;Pemerintah Kabupaten Lampung Tengah;daerah;;
PEMKAB-KABLAMPUNGTIMUR;Pemerintah Kabupaten Lampung Timur;daerah;;
PEMKAB-KABLAMPUNGUTARA;Pemerintah Kabupaten Lampung Utara;daerah;;
PEMKAB-KABMESUJI;Pemerintah Kabupaten Mesuji;daerah;;
